0 100287 9833.62 4401.28 10941.9
1 18380.1 1691.62 1364.51 2674.1
2 54759.4 2749.58 4077.68 12989.8
3 127612 13702.3 4491.49 5389.01
4 149405 15208.2 5197.84 37826
5 52175.1 3700.1 2586.94 12431.5
6 108462 7330.66 5985.42 5612.79
7 83343.4 -5089.63 2217.1 22321.1
8 42269.4 3647.75 1714.91 62329.4
9 31008.9 2952.36 2236.58 1837.49
10 99737.8 9863.16 6185.85 19697.6
11 -19264.1 1952.24 1280.62 2229.45
12 142258 8604.86 8900.33 17228.6
13 80287.8 76273.4 1992.62 22689.8
14 81019.4 8281.86 2228 10855.8
15 73043.5 5554.24 4233.23 69391.3
16 33460.8 3380.96 2294.26 2540.36
17 22019.5 2272.64 1512.36 6352.31
18 44188 2948.42 1926.13 6403.19
19 56395.1 3551.05 3181.62 13534.3
20 40528.7 3060.05 -2306.59 1646.28
21 52748 5013.87 1538.43 6502.04
22 42649.4 2783.95 2503.1 3446.96
23 112773 5938.26 7274.42 5921.14
24 63307.6 6590.81 1934.53 5545.39
25 45591.2 122965 1217.26 10807.8
26 133774 11062 6120.3 127085
27 52357.2 5450.67 3690.27 2278.71
28 136728 9008.53 8651.16 6911.84
29 123339 6405.35 4866.65 9299.95
30 115464 9330.41 7382.51 10671.8
31 136828 9442.01 129987 16785
32 61390 3263.93 1977.87 58320.5
33 17562.6 1794.1 869.722 1280.98
34 88437.7 6036.42 84015.8 23029.6
35 55522 -4660.48 1608.79 16013.9
36 70338.1 5671.38 4473.2 16771.8
37 80981.5 4894.08 1964.33 24016.3
38 34138.1 3640.98 1912.43 6347.79
39 45633.4 2928.2 2550.6 3036.29
40 83346 6142.8 2060.46 10556.5
41 41139.7 2304.11 3081.12 9057.48
42 142181 14179 4611.81 27577.2
43 106958 11631.1 7929.21 28241.3
44 99741.8 9049.54 6309.75 23419.5
45 68942.6 4761.62 1912.84 3235.09
46 96868.3 7826.01 -5645.89 26685.9
47 45113 3792.86 2514.26 2264.06
48 118941 8237.11 4254.66 28663.9
49 14082.1 1129.48 469.897 2287.53
50 31670.9 2493.4 828.117 4025.74
51 25972 43249 1657.31 4786.26
52 97171.5 7325.77 3614.76 4212.25
53 21150.9 1196.1 1676.06 2402.87
54 119904 11505.3 7191.7 27819.6
55 109805 8063.56 8541.86 32381.4
56 24195.5 1528.1 22985.7 7209.84
57 -89747.1 6553.17 2430.07 5810.74
58 101139 9167.14 6061.98 20755.5
59 126938 10650.9 8338.86 19441.6
60 49165.4 97260.4 2640.01 8619.05
61 61849.7 4070.45 4027.47 6270.04
62 52042.6 2922.08 3059.24 6610.26
63 103308 8284.03 98142.2 24947.9
64 52365.5 5369.8 4144.08 7541.54
65 59436.3 3807.7 1479.37 56464.5
66 145511 11837.5 8869.89 29787.6
67 138502 13960.7 5861.22 235804
68 47683.1 4407.35 45298.9 2553.94
69 79073.6 4645.73 2808.94 6058.86
70 76542.5 7867.88 2095.53 18164.1
71 39014.7 4105.79 793.347 10562.1
72 114731 9813.72 7488.92 23372.1
73 126631 13314.2 6561.28 -29577.2
74 64595.9 6333.15 3470.69 19369.2
75 136149 11995.1 10581.2 17462.8
76 83118.4 6866.15 2442.46 -11061.2
77 79014.1 6143.72 2785.89 12120.3
78 58191.8 6001.92 1803.94 6396.81
79 57592.9 3289.52 2356.44 10164.4
80 49424 3528.06 1151.92 7565.03
81 97956.8 7478.72 5526.83 6117.5
82 77594.3 7917.19 6013.79 15569.4
83 117950 7155.55 8960.25 9719.73
84 129299 11434.4 6043.39 11303.6
85 121236 10550.9 8485.61 4885.78
86 38111.8 3261.74 1233.26 9377.02
87 13094.6 753.735 888.196 3925.31
88 87063.5 8189.4 6627.56 4586.23
89 92706.9 8285.48 6337.17 20173.2
90 124903 11736.7 8583.66 118657
91 122176 13234 6229.3 15027
92 67355.7 4330.85 3428.83 18723.8
93 -135439 10807.6 6319.4 32171.7
94 117294 12363.5 5942.2 24375.1
95 -147375 12860.4 11220.4 36159.5
96 41823 4261.63 2454.67 2637.86
97 37795.8 3496.24 2593.54 6303.73
98 45993 3265.72 3390.16 6389.31
99 89433.4 7635.81 4559.3 3616.55
